,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Not started","Education,Out of school youth","Education,Out of school youth,female","Education,Out of school youth,male","Education,Post baccalaureate","Education,Postsecondary","Education,Preschool","Education,Special education"
309,125.68299999999999,7.30007,05/11/2017,"Sun - Nov 5, 2017",21:00:00,PHYSICAL INJURIES,New Pandan (Pob.),Panabo City,Shooting,urban,9.03,606,530,834,"1,872",20,1,244,155,89,6,117,0,1
310,125.845,7.47543,05/11/2017,"Sun - Nov 5, 2017",23:45:00,PHYSICAL INJURIES,Magdum,Tagum City,Mauling,urban,7.86,"1,269",975,"1,134","2,599",34,0,378,243,137,22,284,1,1
311,125.73100000000001,7.03543,06/11/2017,"Mon - Nov 6, 2017",2:30:00,PHYSICAL INJURIES,San Remigio,Samal City,Shooting,rural,6.25,117,126,453,584,15,0,80,50,30,2,25,0,0
312,125.807,7.45012,07/11/2017,"Tue - Nov 7, 2017",2:30:00,ROBBERY,Magugpo Poblacion,Tagum City,Cellphone Snatching,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
313,125.811,7.43699,07/11/2017,"Tue - Nov 7, 2017",3:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
314,125.822,7.434010000000001,07/11/2017,"Tue - Nov 7, 2017",22:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
315,125.803,7.4313899999999995,08/11/2017,"Wed - Nov 8, 2017",4:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
316,125.807,7.449389999999999,08/11/2017,"Wed - Nov 8, 2017",14:00:00,THEFT,Magugpo Poblacion,Tagum City,Pick-Pocketing,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
317,125.807,7.4501800000000005,09/11/2017,"Thu - Nov 9, 2017",3:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),urban,8.33,"1,345","1,034","1,203","2,756",36,0,401,258,145,24,301,1,1
318,125.79700000000001,7.42603,09/11/2017,"Thu - Nov 9, 2017",3:00:00,ROBBERY,Visayan Village,Tagum City,Destroying Window,urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
319,125.81,7.44797,09/11/2017,"Thu - Nov 9, 2017",23:30:00,THEFT,Magugpo Poblacion,Tagum City,Shoplifting,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
320,125.807,7.45029,10/11/2017,"Fri - Nov 10, 2017",1:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,393,302,351,805,11,0,117,75,42,7,88,0,0
321,125.81200000000001,7.438039999999999,10/11/2017,"Fri - Nov 10, 2017",4:00:00,THEFT,Visayan Village,Tagum City,Salisi (Akyat Bahay),urban,31.0,"5,005","3,845","4,474","10,253",136,0,1491,959,539,88,"1,119",2,4
