,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Labor,Employed","Labor,Employed,female","Labor,Employed,male","Labor,In the Labor Force","Labor,In the Labor Force,female","Labor,In the Labor Force,male","Labor,Not in the Labor Force","Labor,Not in the Labor Force,female","Labor,Not in the Labor Force,male","Labor,Underemployed","Labor,Unemployed","Labor,Unemployed,female","Labor,Unemployed,male"
17,125.82799999999999,7.4228,02/08/2017,"Wed - Aug 2, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
18,125.803,7.46735,02/08/2017,"Wed - Aug 2, 2017",20:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),urban,11.84,6634,2320,4314,6973,2452,4521,4140,2961,1180,1179,339,132,207
19,125.765,7.44395,03/08/2017,"Thu - Aug 3, 2017",2:30:00,RAPE (Art. 266-A RC & R.A.8353),San Miguel (Camp 4),Tagum City,Not Indicated,urban,13.32,7464,2610,4854,7846,2759,5087,4659,3331,1327,1326,381,148,233
20,125.685,7.31493,03/08/2017,"Thu - Aug 3, 2017",21:40:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,urban,17.46,5346,1870,3477,5619,1976,3643,3337,2386,951,950,273,106,167
21,125.802,7.4595199999999995,03/08/2017,"Thu - Aug 3, 2017",4:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),urban,10.74,6020,2105,3915,6327,2225,4102,3757,2687,1070,1070,307,120,188
22,125.773,7.46944,05/08/2017,"Sat - Aug 5, 2017",0:30:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,urban,29.97,"16,795",5873,10922,"17,653",6207,11446,"10,482",7496,2987,2984,858,334,524
23,125.81200000000001,7.39756,05/08/2017,"Sat - Aug 5, 2017",16:30:00,THEFT,La Filipina,Tagum City,Salisi,urban,11.84,6634,2320,4314,6973,2452,4521,4140,2961,1180,1179,339,132,207
24,125.809,7.381130000000001,06/08/2017,"Sun - Aug 6, 2017",21:48:00,MURDER,Madaum,Tagum City,Shooting,urban,8.25,4621,1616,3005,4857,1708,3149,2884,2062,822,821,236,92,144
25,125.639,7.28525,07/08/2017,"Mon - Aug 7, 2017",10:30:00,THEFT,Kiotoy,Panabo City,Salisi (Others),rural,2.04,625,219,407,657,231,426,390,279,111,111,32,12,20
26,125.79700000000001,7.44712,07/08/2017,"Mon - Aug 7, 2017",11:15:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,urban,8.33,4669,1633,3036,4908,1726,3182,2914,2084,830,830,238,93,146
27,125.804,7.443510000000001,07/08/2017,"Mon - Aug 7, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,1364,477,887,1434,504,930,851,609,243,242,70,27,43
28,125.774,7.4669,08/08/2017,"Tue - Aug 8, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"16,795",5873,10922,"17,653",6207,11446,"10,482",7496,2987,2984,858,334,524
29,125.836,7.416689999999999,08/08/2017,"Tue - Aug 8, 2017",17:05:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
